,Names,Region,Era,Area
438,Fyodor Dostoyevsky,Russian,,
439,Frederick Douglass,,,
440,Fred Dretske,American,20thcentury,epistemologists
441,Hans Adolf Eduard Driesch,,19thcentury,
442,W. E. B. Du Bois,,,
443,Emil du Bois-Reymond,,19thcentury,
444,Jean-Baptiste Dubos,,,
445,Émilie du Châtelet,,18thcentury,
446,Guillaume du Vair,,15thand16thcenturies,
447,Curt Ducasse,,19thcentury,
448,Pierre Duhem,,19thcentury,
449,Eugen Dühring,German-language,19thcentury,
450,Michael Dummett,Catholicandtheologians,20thcentury,
451,Raya Dunayevskaya,,20thcentury,"['Indexsociopoliticalthinkers', 'politicaltheorists']"
452,James Dunbar,,,
453,Duns Scotus,British,11ththrough14thcenturies,metaphysicians
454,Profiat Duran,,11ththrough14thcenturies,
455,Simeon ben Zemah Duran,,11ththrough14thcenturies,
456,Durandus of St. Pourçain,,11ththrough14thcenturies,
457,Will Durant,American,,
458,Émile Durkheim,,19thcentury,
459,Enrique Dussel,,,Indexsociopoliticalthinkers
460,Ronald Dworkin,American,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists']"
461,Jonathan Earle,,,
462,John Earman,American,20thcentury,
463,Johann Augustus Eberhard,German-language,18thcentury,
464,Meister Eckhart,Catholicandtheologians,11ththrough14thcenturies,metaphysicians
465,Umberto Eco,Italian,20thcentury,aestheticians
466,Arthur Stanley Eddington,,,
467,Jonathan Edwards,American,18thcentury,aestheticians
468,Paul Edwards,American,20thcentury,
469,Christian von Ehrenfels,,19thcentury,
470,Albert Einstein,German-language,19thcentury,
471,Mircea Eliade,Romanian,20thcentury,
472,Elias,,1stthrough10thcenturies,
473,George Eliot,,19thcentury,
474,T. S. Eliot,,,
475,Elisabeth of Bohemia,,17thcentury,
476,Jon Elster,,20thcentury,
477,Ralph Waldo Emerson,American,19thcentury,aestheticians
478,Empedocles,Italian,centuriesBC,metaphysicians
479,Friedrich Engels,German-language,19thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
480,Epicharmus,,centuriesBC,
481,Epictetus,ancientGreek,1stthrough10thcenturies,
482,Epicurus,ancientGreek,centuriesBC,"['metaphysicians', 'ethicists']"
483,Desiderius Erasmus,Catholicandtheologians,15thand16thcenturies,
484,Johannes Scotus Eriugena,,1stthrough10thcenturies,
485,Rudolf Christoph Eucken,,19thcentury,ethicists
486,Eudoxus of Cnidus,ancientGreek,centuriesBC,
487,Eusebius of Caesarea,,1stthrough10thcenturies,
488,Gareth Evans,British,20thcentury,
489,Emil Fackenheim,,20thcentury,
490,Thome H. Fang,,19thcentury,
491,Frantz Fanon,French,20thcentury,"['political', 'politicaltheorists']"
492,Al-Farabi,Muslim,1stthrough10thcenturies,"['metaphysicians', 'political']"
493,Michael Faraday,,,
494,Michelangelo Fardella,,17thcentury,
495,Raimundo de Farias Brito,,,
496,Austin Marsden Farrer,,20thcentury,
497,Fazang,TimelineEastern#Japanese,1stthrough10thcenturies,
498,Gustav Fechner,German-language,19thcentury,
499,Andrew Feenberg,,20thcentury,
500,Herbert Feigl,,20thcentury,
501,Joel Feinberg,American,20thcentury,
502,José Pablo Feinmann,,,
503,Valentin Feldman,,,aestheticians
504,Margaret Fell,,,
505,François de Salignac de la Mothe-Fénelon,,17thcentury,
506,Feng Youlan,TimelineEastern#Japanese,19thcentury,
507,Adam Ferguson,,18thcentury,
508,Ann Ferguson,,20thcentury,
509,Jose Ferrater-Mora,,,
510,Luigi Ferri,Italian,,
511,James Frederick Ferrier,,19thcentury,epistemologists
512,Ludwig Feuerbach,,19thcentury,
513,Paul Feyerabend,,20thcentury,
514,Johann Gottlieb Fichte,German-language,18thcentury,
515,Marsilio Ficino,Italian,15thand16thcenturies,
516,Hartry Field,American,20thcentury,logicians
517,Robert Filmer,,15thand16thcenturies,
518,J. N. Findlay,,20thcentury,
519,Eugen Fink,,20thcentury,
520,John Finnis,Catholicandtheologians,20thcentury,"['Indexsociopoliticalthinkers', 'ethicists']"
521,Kuno Fischer,,19thcentury,
522,Ronald Fisher,,,
523,John Fiske,American,19thcentury,
524,Richard FitzRalph,,,
525,Ludwik Fleck,,,
526,Pavel Aleksandrovich Florenskii,,19thcentury,
527,Georges Florovsky,Russian,19thcentury,
528,Robert Fludd,,15thand16thcenturies,
529,Jerry Fodor,American,20thcentury,epistemologists
530,Robert J. Fogelin,,,
531,Dagfinn Føllesdal,,20thcentury,
532,Benjamin Fondane,,,
533,Pedro da Fonseca,,15thand16thcenturies,
534,Bernard le Bovier de Fontenelle,,17thcentury,
535,Philippa Foot,British,20thcentury,ethicists
536,David Fordyce,,18thcentury,
537,Michel Foucault,French,20thcentury,"['aestheticians', 'Indexsociopoliticalthinkers', 'political']"
538,Simon Foucher,French,17thcentury,
539,Alfred Fouillée,French,,
540,Charles Fourier,French,18thcentury,political
541,Francis of Marchia,,11ththrough14thcenturies,
542,Francis of Meyronnes,,11ththrough14thcenturies,
543,Sebastian Franck,,,
544,Jerome Frank,,19thcentury,
545,Erich Frank,,,
546,Semën Liudvigovich Frank,,19thcentury,
547,William K. Frankena,,20thcentury,ethicists
548,Harry Gordon Frankfurt,,,
549,Benjamin Franklin,,18thcentury,"['political', 'politicaltheorists']"
550,Michael Frede,,20thcentury,
551,Gottlob Frege,German-language,19thcentury,"['logicians', 'metaphysicians']"
552,Hans Frei,,,
553,Paulo Freire,,,
554,Sigmund Freud,,19thcentury,
555,Jakob Friedrich Fries,German-language,18thcentury,
556,Friedrich Fröbel,,,
557,Erich Fromm,American,20thcentury,"['political', 'ethicists', 'politicaltheorists']"
558,Marilyn Frye,American,20thcentury,
559,Fujiwara Seika,TimelineEastern#Japanese,15thand16thcenturies,Indexsociopoliticalthinkers
560,Lon L. Fuller,,20thcentury,Indexsociopoliticalthinkers
561,Richard Fumerton,Canadian,,epistemologists
562,Nikolai Fyodorovich Fyodorov,,19thcentury,
563,Gadadhara Bhattacharya,TimelineEastern#Japanese,17thcentury,
564,Hans-Georg Gadamer,German-language,20thcentury,aestheticians
565,Muammar Gaddafi,,,politicaltheorists
566,Gaius,,,
567,Galen,,1stthrough10thcenturies,
568,Galileo Galilei,Catholicandtheologians,15thand16thcenturies,
569,Pasquale Galluppi,Italian,,
570,Rafael Gambra Ciudad,,,
571,Mahatma Gandhi,TimelineEastern#Japanese,19thcentury,
572,Gangeśa,,11ththrough14thcenturies,
573,Réginald Garrigou-Lagrange,,19thcentury,
574,Christian Garve,,,
575,Pierre Gassendi,French,15thand16thcenturies,
576,Marcel Gauchet,French,,
577,Gaunilo,,,
578,Aksapada Gautama,TimelineEastern#Japanese,,
579,Siddhartha Gautama,TimelineEastern#Japanese,,
580,David Gauthier,Canadian,20thcentury,ethicists
581,John Gay,,17thcentury,
582,Peter Geach,Catholicandtheologians,20thcentury,"['logicians', 'metaphysicians']"
583,Arnold Gehlen,German-language,20thcentury,
584,Antonio Genovesi,Italian,,
585,Giovanni Gentile,Italian,19thcentury,political
586,Gerhard Gentzen,,20thcentury,logicians
587,George of Trebizond,,11ththrough14thcenturies,
588,Gerard of Cremona,,11ththrough14thcenturies,
589,Gerard of Odo,,11ththrough14thcenturies,
590,Alexander Gerard,,18thcentury,aestheticians
591,Gerbert of Aurillac,,1stthrough10thcenturies,
592,Giacinto Sigismondo Gerdil,,18thcentury,
593,Jean Gerson,Catholicandtheologians,11ththrough14thcenturies,
594,Gersonides,,11ththrough14thcenturies,
595,Edmund Gettier,American,20thcentury,epistemologists
596,Arnold Geulincx,,17thcentury,
597,Alan Gewirth,American,20thcentury,ethicists
598,Joseph Geyser,,,
599,Al-Ghazali,Muslim,11ththrough14thcenturies,"['metaphysicians', 'political', 'Indexsociopoliticalthinkers', 'ethicists']"
600,Allan Gibbard,American,20thcentury,ethicists
601,Edward Gibbon,,,
602,Josiah Gibbs,,,
603,Gilbert of Poitiers,,11ththrough14thcenturies,
604,Giles of Rome,Catholicandtheologians,11ththrough14thcenturies,metaphysicians
605,Étienne Gilson,French,19thcentury,metaphysicians
606,Asher Ginsberg,,19thcentury,
607,Vincenzo Gioberti,Italian,19thcentury,
608,Joseph Glanvill,,17thcentury,
609,Jonathan Glover,British,20thcentury,
610,Arthur de Gobineau,,19thcentury,
611,Rudolph Goclenius,,15thand16thcenturies,
612,Kurt Gödel,German-language,20thcentury,logicians
613,Godfrey of Fontaines,Catholicandtheologians,11ththrough14thcenturies,
614,William Godwin,British,18thcentury,"['political', 'politicaltheorists']"
615,Johann Wolfgang Goethe,,,
616,Friedrich Gogarten,,,
617,Alvin Goldman,American,20thcentury,epistemologists
618,Lucien Goldmann,French,20thcentury,
619,Gongsun Longzi,TimelineEastern#Japanese,centuriesBC,
620,Nelson Goodman,American,20thcentury,"['metaphysicians', 'aestheticians', 'epistemologists']"
621,Gorampa,TimelineEastern#Japanese,,
622,Gorgias,Italian,centuriesBC,
623,André Gorz,French,20thcentury,
624,Johann Christoph Gottsched,German-language,,
625,Marie de Gournay,,,
626,Baltasar Gracián y Morales,,17thcentury,
627,Antonio Gramsci,Italian,19thcentury,"['political', 'politicaltheorists']"
628,Asa Gray,,,
629,John Gray,,20thcentury,
630,Hilary Greaves,,20thcentury,
631,Thomas Hill Green,British,19thcentury,"['political', 'Indexsociopoliticalthinkers', 'ethicists']"
632,Pope Gregory I,Catholicandtheologians,1stthrough10thcenturies,
633,Gregory of Nazianzus,,,
634,Gregory of Nyssa,Catholicandtheologians,1stthrough10thcenturies,
635,Gregory of Rimini,,11ththrough14thcenturies,
636,Herbert Paul Grice,,20thcentury,
637,James Griffin,,20thcentury,
638,Germain Grisez,Catholicandtheologians,20thcentury,
639,Robert Grosseteste,Catholicandtheologians,11ththrough14thcenturies,
640,Reinhardt Grossmann,,,
641,John Grote,British,19thcentury,
642,Hugo Grotius,,15thand16thcenturies,"['political', 'Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists']"
643,Adolf Grunbaum,,,
644,Karl Grün,,,
645,Guan Zhong,TimelineEastern#Japanese,centuriesBC,
646,Félix Guattari,French,20thcentury,"['political', 'Indexsociopoliticalthinkers']"
647,"Ernesto ""Che"" Guevara",,,
648,Guo Xiang,TimelineEastern#Japanese,,
649,Edmund Gurney,,19thcentury,aestheticians
650,Aron Gurwitsch,,20thcentury,
651,Susan Haack,British,20thcentury,"['logicians', 'epistemologists']"
652,Jürgen Habermas,German-language,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists']"
653,Ian Hacking,Canadian,20thcentury,
654,Ernst Haeckel,German-language,19thcentury,
655,Axel Anders Theodor Hagerstrom,,,
656,Yehuda Halevi,,11ththrough14thcenturies,
657,Johann Georg Hamann,German-language,18thcentury,
658,Octave Hamelin,French,,
659,Sir William Hamilton,,18thcentury,
660,David Walter Hamlyn,,,
661,Stuart Hampshire,,20thcentury,
662,Hassan Hanafi,,,
663,Han Feizi,TimelineEastern#Japanese,centuriesBC,political
664,Han Wonjin,Korean,17thcentury,
665,Han Yu,TimelineEastern#Japanese,1stthrough10thcenturies,
666,Alastair Hannay,,20thcentury,
667,Eduard Hanslick,,19thcentury,aestheticians
668,Norwood Russell Hanson,American,20thcentury,
669,Sandra Harding,American,20thcentury,epistemologists
670,Michael Hardt,,20thcentury,political
671,R. M. Hare,British,20thcentury,ethicists
672,Gilbert Harman,American,20thcentury,"['epistemologists', 'ethicists']"
673,Adolf von Harnack,,,
674,James Harrington,,17thcentury,political
675,William Torrey Harris,American,19thcentury,
676,H. L. A. Hart,,20thcentury,Indexsociopoliticalthinkers
677,David Hartley,,18thcentury,
678,Eduard Von Hartmann,,19thcentury,
679,Nicolai Hartmann,German-language,19thcentury,metaphysicians
680,Charles Hartshorne,American,19thcentury,
681,William Harvey,,,
682,Seiichi Hatano,,,
683,Hayashi Razan,,,Indexsociopoliticalthinkers
684,Friedrich Hayek,,19thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
685,William Hazlitt,,18thcentury,
686,Christian Friedrich Hebbel,,,
687,G.W.F. Hegel,,18thcentury,epistemologists
688,Martin Heidegger,German-language,19thcentury,"['metaphysicians', 'political', 'ethicists']"
689,Carl Heim,,,
690,Werner Heisenberg,,20thcentury,
691,Virginia Held,,20thcentury,
692,Ágnes Heller,,20thcentury,
693,Hermann von Helmholtz,,19thcentury,
694,Franciscus Mercurius van Helmont,,17thcentury,
695,Claude Adrien Helvétius,,18thcentury,ethicists
696,Carl Gustav Hempel,German-language,20thcentury,
697,Frans Hemsterhuis,,,
698,Henricus Regius,,15thand16thcenturies,
699,Henry of Ghent,Catholicandtheologians,11ththrough14thcenturies,
700,Henry of Harclay,,11ththrough14thcenturies,
701,Michel Henry,French,20thcentury,
702,Ronald William Hepburn,,,
703,Heraclides Ponticus,ancientGreek,centuriesBC,
704,Heraclitus of Ephesus,,centuriesBC,
705,Johann Friedrich Herbart,German-language,18thcentury,"['aestheticians', 'ethicists']"
706,"Edward Herbert, 1st Baron Herbert of Cherbury",,15thand16thcenturies,
707,Johann Gottfried Herder,,18thcentury,aestheticians
708,Abraham Cohen de Herrera,,15thand16thcenturies,
709,John Herschel,,18thcentury,
710,Heinrich Rudolf Hertz,German-language,19thcentury,
711,Hervaeus Natalis,,11ththrough14thcenturies,
712,Alexander Herzen,Russian,19thcentury,
713,Abraham Joshua Heschel,,20thcentury,"['Indexsociopoliticalthinkers', 'ethicists']"
714,Hesiod,,,
715,Moses Hess,German-language,19thcentury,
716,Sergei Iosifovich Hessen,,,
717,William of Heytesbury,,11ththrough14thcenturies,
718,John Hick,British,20thcentury,
719,Laurens Perseus Hickok,American,18thcentury,
720,Hierocles the Stoic,,1stthrough10thcenturies,
721,David Hilbert,German-language,19thcentury,logicians
722,Hildegard of Bingen,Catholicandtheologians,11ththrough14thcenturies,
723,Hillel ben Samuel of Verona,,11ththrough14thcenturies,
724,Hermann Friedrich Wilhelm Hinrichs,,18thcentury,
725,Jaakko Hintikka,Finnish,20thcentury,logicians
726,Hippias,ancientGreek,centuriesBC,
727,Hippocrates,,centuriesBC,
728,Ho Yen,,1stthrough10thcenturies,
729,Thomas Hobbes,British,15thand16thcenturies,"['Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists', 'epistemologists', 'political']"
730,Leonard Trelawny Hobhouse,,19thcentury,
731,William Ernest Hocking,American,19thcentury,
732,Shadworth Hodgson,,19thcentury,metaphysicians
733,Harald Høffding,,19thcentury,
734,Wesley Newcomb Hohfeld,,19thcentury,Indexsociopoliticalthinkers
735,Baron d'Holbach,,18thcentury,
736,Robert Holcot,,11ththrough14thcenturies,
737,Friedrich Hölderlin,,18thcentury,
738,John Holloway (sociologist),,,
739,"Oliver Wendell Holmes, Jr.",,19thcentury,Indexsociopoliticalthinkers
740,Edwin Holt,,,
741,"Henry Home, Lord Kames",,,Indexsociopoliticalthinkers
742,Homer,,,
743,Richard Hönigswald,German-language,,
744,Sidney Hook,American,20thcentury,
745,Brad Hooker,,20thcentury,
746,Richard Hooker,,15thand16thcenturies,political
747,Max Horkheimer,German-language,19thcentury,"['political', 'Indexsociopoliticalthinkers']"
748,Jennifer Hornsby,British,20thcentury,
749,Paul Horwich,British,20thcentury,
750,George Howison,,,
751,Hsi K'ang,,1stthrough10thcenturies,
752,Hsiung Shih-li,,19thcentury,
753,Hsu Fu-kuan,,20thcentury,
754,Hsu Hsing,,centuriesBC,
755,Hu Hung,,11ththrough14thcenturies,
756,Hu Shih,TimelineEastern#Japanese,19thcentury,
757,Huai Nun Tzu,,centuriesBC,
758,Huang Zongxi,TimelineEastern#Japanese,17thcentury,
759,Pierre Daniel Huet,,17thcentury,
760,Friedrich von Hügel,,,
761,Hugh of St Victor,,11ththrough14thcenturies,
762,Hui Shi,TimelineEastern#Japanese,centuriesBC,logicians
763,Wilhelm von Humboldt,German-language,18thcentury,
764,David Hume,British,18thcentury,"['Indexsociopoliticalthinkers', 'ethicists', 'epistemologists', 'political', 'aestheticians']"
765,Jan Hus,,11ththrough14thcenturies,
766,Edmund Husserl,German-language,19thcentury,
767,Francis Hutcheson,British,17thcentury,"['aestheticians', 'ethicists']"
768,James Hutton,,,
769,Thomas Henry Huxley,,19thcentury,ethicists
770,Christiaan Huygens,,17thcentury,
771,Hypatia of Alexandria,ancientGreek,1stthrough10thcenturies,
772,Jean Hyppolite,French,20thcentury,
773,Iamblichus,ancientGreek,1stthrough10thcenturies,metaphysicians
774,Yahya ibn Adi,,1stthrough10thcenturies,
775,Ibn Arabi,Muslim,11ththrough14thcenturies,metaphysicians
776,Ibn ar-Rawandi,,1stthrough10thcenturies,
777,Ibn Bajjah,,11ththrough14thcenturies,
778,Ibn Daud,,11ththrough14thcenturies,
779,Abraham ibn Ezra,,11ththrough14thcenturies,
780,Moses ibn Ezra,,11ththrough14thcenturies,
781,Ibn Falaquera,,,
782,Solomon Ibn Gabirol,,11ththrough14thcenturies,
783,Ibn Hazm,,1stthrough10thcenturies,
784,Ibn Kammuna,,11ththrough14thcenturies,
785,Ibn Khaldun,Muslim,11ththrough14thcenturies,political
786,Ibn Masarra,,1stthrough10thcenturies,
787,Ibn Miskawayh,Iranian,1stthrough10thcenturies,
788,Bahya ibn Paquda,,11ththrough14thcenturies,ethicists
789,Ibn Sabin,Muslim,11ththrough14thcenturies,
790,Ibn Taymiya,,11ththrough14thcenturies,
791,Samuel ibn Tibbon,,,
792,Ibn Tufail,Muslim,11ththrough14thcenturies,
793,Joseph ibn Tzaddik,,,
794,Ivan Aleksandrovich Il'in,,19thcentury,
795,Evald Vassilievich Ilyenkov,,20thcentury,
796,Immanuel the Roman,,11ththrough14thcenturies,
797,Roman Ingarden,German-language,19thcentury,
798,William Ralph Inge,,19thcentury,
799,José Ingenieros,,,
800,Nae Ionescu,Romanian,,
801,Muhammad Iqbal,Muslim,19thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
802,Luce Irigaray,French,20thcentury,
803,Terence Irwin,,20thcentury,
804,Isocrates,,centuriesBC,
805,Isaac of Stella,,,
806,Isaac Israeli,,,
807,Ito Jinsai,,17thcentury,
808,Vyacheslav Ivanovich Ivanov,,,
809,Frank Jackson,,20thcentury,
810,Friedrich Heinrich Jacobi,German-language,18thcentury,
811,Franz Jakubowski,,,
812,James of Viterbo,Catholicandtheologians,11ththrough14thcenturies,
813,Henry James Sr.,,19thcentury,
814,William James,American,19thcentury,Indexsociopoliticalthinkers
815,Fredric Jameson,American,20thcentury,political
816,Vladimir Jankélévitch,French,,
817,Karl Jaspers,German-language,19thcentury,
818,Jayarāśi Bhaṭṭa,Indian,,
819,James Hopwood Jeans,,,
820,Thomas Jefferson,American,18thcentury,political
821,Richard C. Jeffrey,,20thcentury,
822,William Stanley Jevons,,19thcentury,logicians
823,Rudolf von Jhering,,19thcentury,
824,Jinul,Korean,11ththrough14thcenturies,
825,Joachim of Fiore,,11ththrough14thcenturies,
826,Friedrich Jodl,,,
827,John of Damascus,Catholicandtheologians,1stthrough10thcenturies,
828,John of Jandun,,11ththrough14thcenturies,
829,John of La Rochelle,,11ththrough14thcenturies,
830,John of Mirecourt,,11ththrough14thcenturies,
831,John of Paris,,11ththrough14thcenturies,
832,John of Salisbury,,11ththrough14thcenturies,
833,John of St. Thomas,,15thand16thcenturies,"['logicians', 'metaphysicians']"
834,John of the Cross,Catholicandtheologians,,
835,Alexander Bryan Johnson,American,18thcentury,
836,Samuel Johnson,,17thcentury,
837,Samuel Johnson,,17thcentury,
838,Samuel Johnson,,17thcentury,
839,William Ernest Johnson,,19thcentury,logicians
840,Constance Jones,,,
841,Jørgen Jørgensen,,19thcentury,
842,Théodore Simon Jouffroy,French,18thcentury,ethicists
843,Judah ben Moses of Rome,,11ththrough14thcenturies,
844,Carl Jung,,19thcentury,
845,Ernst Jünger,,19thcentury,
846,Joachim Jungius,,15thand16thcenturies,logicians
847,Justinian I,,1stthrough10thcenturies,
848,Al-Juwayni,,,
849,Franz Kafka,,,
850,Kaibara Ekiken,,17thcentury,
851,Kang Youwei,TimelineEastern#Japanese,19thcentury,
852,Milan Kangrga,,,Indexsociopoliticalthinkers
853,Immanuel Kant,Muslim,18thcentury,"['Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists', 'epistemologists', 'political', 'metaphysicians', 'aestheticians']"
854,Kao Tzu,,,
855,David Kaplan,American,20thcentury,logicians
856,Mordecai Kaplan,American,19thcentury,
857,Nikolai Ivanovich Kareev,,,
858,Lev Platonovich Karsavin,,,
859,Joseph Kaspi,,11ththrough14thcenturies,
860,Walter Kaufmann,American,20thcentury,
861,Karl Kautsky,,19thcentury,
862,Khedrup Gelek Pelzang,,,
863,Konstantin Kavelin,Russian,19thcentury,
864,Bartholomew Keckermann,,,
865,Hans Kelsen,,19thcentury,Indexsociopoliticalthinkers
866,Norman Kemp Smith,,19thcentury,
867,Anthony Kenny,British,20thcentury,
868,Johannes Kepler,,15thand16thcenturies,
869,John Maynard Keynes,,19thcentury,
870,Hermann Graf Keyserling,,,
871,Aleksey Khomyakov,Russian,19thcentury,
872,Søren Kierkegaard,,19thcentury,"['aestheticians', 'epistemologists', 'political', 'ethicists']"
873,Richard Kilvington,,11ththrough14thcenturies,logicians
874,Robert Kilwardby,,11ththrough14thcenturies,logicians
875,Jaegwon Kim,American,20thcentury,metaphysicians
876,Al-Kindi,Muslim,1stthrough10thcenturies,
877,Martin Luther King Jr.,,20thcentury,ethicists
878,Ivan Kireevsky,,,
879,Patricia Kitcher,American,20thcentury,
880,Ludwig Klages,German-language,,
881,Heinrich von Kleist,German-language,18thcentury,
882,William Calvert Kneale,,20thcentury,
883,Martin Knutzen,German-language,18thcentury,
884,Ko Hung,,1stthrough10thcenturies,
885,Kurt Koffka,,,
886,Wolfgang Köhler,,19thcentury,
887,Alexandre Kojève,French,20thcentury,
888,Leszek Kołakowski,,,politicaltheorists
889,Alejandro Korn,,19thcentury,
890,Karl Korsch,,,
891,Karel Kosík,,,
892,Tadeusz Kotarbiński,,19thcentury,"['logicians', 'ethicists']"
893,Alexandre Koyre,,19thcentury,
894,Aleksei Aleksandrovich Kozlov,,,
895,Karl Kraus,,19thcentury,
896,Karl Christian Friedrich Krause,,18thcentury,
897,Georg Kreisel,,20thcentury,logicians
898,Saul Kripke,American,20thcentury,"['logicians', 'metaphysicians']"
899,Jiddu Krishnamurti,TimelineEastern#Japanese,19thcentury,
900,Uppaluri Gopala Krishnamurti,,,
901,Julia Kristeva,French,20thcentury,
